sample_id,prediction_time,close,return_1d,return_7d,return_30d,ema20_gap,ema50_gap,rsi14,volatility_7d,volatility_30d,volume,volume_change_1d,hash_rate_value,hash_rate_change_1d,hash_rate_change_7d,hash_rate_mean_7d,hash_rate_age_hours,hash_rate_missing,miners_revenue_value,miners_revenue_change_1d,miners_revenue_change_7d,miners_revenue_mean_7d,miners_revenue_age_hours,miners_revenue_missing,n_transactions_value,n_transactions_change_1d,n_transactions_change_7d,n_transactions_mean_7d,n_transactions_age_hours,n_transactions_missing,estimated_transaction_volume_usd_value,estimated_transaction_volume_usd_change_1d,estimated_transaction_volume_usd_change_7d,estimated_transaction_volume_usd_mean_7d,estimated_transaction_volume_usd_age_hours,estimated_transaction_volume_usd_missing,fear_greed_value,fear_greed_change_1d,fear_greed_change_7d,fear_greed_mean_7d,fear_greed_age_hours,fear_greed_missing
2022-01-11,2022-01-11T00:00:00+00:00,41822.49,-0.0010063390041520348,-0.09954786300679719,-0.15321930617924806,-0.08028986693723117,-0.15599169795571854,17.827769802211577,0.0196581819168898,0.026974919544676117,50729.17019,1.2323662232570327,170826076.6426718,-0.019609818445307958,-0.10393511795878252,173918482.77553228,0.0,0,37068053.16263282,-0.01878782779216115,-0.23106388800727762,40351326.236392684,0.0,0,210143.0,-0.06152643801357627,0.06744723541513209,247976.42857142858,0.0,0,1714179077.4363956,-0.044216052800236105,0.18045589534956208,4080459601.6288214,0.0,0,23.0,0.0,-6.0,19.428571428571427,0.0,0
2022-01-12,2022-01-12T00:00:00+00:00,42729.29,0.021682114096984728,-0.0676976637070903,-0.14633445146132473,-0.05491872832384981,-0.13355126725745037,29.15495848267132,0.023453386049776617,0.027203912404790538,37296.43729,-0.26479307368303706,172037609.10113046,0.007092198581560183,0.01844537454289541,174363600.71349853,0.0,0,37634287.25433144,0.015275528207923772,-0.10309916814967457,39733314.97360223,0.0,0,266743.0,0.26934040153609695,0.13607731065236184,252540.7142857143,0.0,0,4284557316.178955,1.499480580865935,0.48939621752120055,4281580999.4546695,0.0,0,21.0,-2.0,-2.0,19.142857142857142,0.0,0
2022-01-13,2022-01-13T00:00:00+00:00,43902.66,0.027460554575093665,0.0103916745088104,-0.05995557006814367,-0.0262829693463984,-0.10667151291003285,38.99718960221535,0.019060072466541626,0.025231351245388983,33943.2928,-0.08990522241916787,191422128.4364691,0.11267605633802824,0.079237888516281,176371351.53126055,0.0,0,41815945.08734196,0.11111298069101161,-0.03395060822307139,39523376.466579676,0.0,0,277698.0,0.04106949385738323,0.011488140334518393,252991.2857142857,0.0,0,5047411626.824847,0.1780474047494407,-0.20112874840638872,4100042792.3244705,0.0,0,22.0,1.0,-2.0,18.857142857142858,0.0,0
2022-01-14,2022-01-14T00:00:00+00:00,42560.11,-0.03058015163545902,-0.01212098422763308,-0.1196271746559191,-0.05099313848398268,-0.13014602937241593,31.50366377317539,0.022070506848711802,0.02478406395074303,34910.87762,0.02850592091053694,168403011.72575447,-0.120253164556962,-0.0695330052298242,174573549.60401627,0.0,0,37614100.691172846,-0.10048426234042107,-0.13971822692304292,38650676.44460587,0.0,0,271933.0,-0.02075996226116139,-0.000815711634913896,252959.57142857142,0.0,0,4190460072.2756243,-0.1697803979360213,0.017060365181110537,4110084446.4817934,0.0,0,21.0,-1.0,6.0,19.714285714285715,0.0,0
2022-01-15,2022-01-15T00:00:00+00:00,43059.96,0.011744565509816507,0.03592991275662505,-0.118797142657175,-0.03619147132215306,-0.11652177589848323,36.762928804258046,0.017466178905584783,0.02480351409590081,32640.88292,-0.0650225618705027,216864310.0641011,0.2877697841726621,0.23105542572086435,180388266.9640271,0.0,0,49600693.77700761,0.31867286112326854,0.2308710739266231,39979742.81329109,0.0,0,274515.0,0.009494985897261499,0.03630062778643928,254333.2857142857,0.0,0,4128979408.8463817,-0.014671578387300044,-0.31203183202712237,3842552755.8927536,0.0,0,21.0,0.0,3.0,20.142857142857142,0.0,0
2022-01-16,2022-01-16T00:00:00+00:00,43084.29,0.0005650260706233645,0.0336986267188808,-0.09548315662580786,-0.032362380683880865,-0.11258316976533167,27.79273680642403,0.017526305130675556,0.024494420222154537,21936.05616,-0.32795763479304807,192633660.89492777,-0.1117318435754191,0.1403719334670448,183775678.015393,0.0,0,42691914.993998244,-0.13928794653698828,0.11329640291404086,40600401.60507782,0.0,0,270882.0,-0.013234249494563088,0.060697546019476745,256547.7142857143,0.0,0,4033611360.8800573,-0.02309724474818098,-0.2971335696573315,3598954075.946786,0.0,0,23.0,2.0,13.0,22.0,0.0,0
2022-01-17,2022-01-17T00:00:00+00:00,43071.66,-0.0002931462953200681,0.028831982709982773,-0.06632257561043275,-0.029627480688163566,-0.10942671751597621,28.968411597385128,0.017622065052128197,0.023918820049529495,20602.35271,-0.06079960045105948,201114388.10413846,0.044025157232704615,0.15421822792963757,187614454.99559903,0.0,0,45035758.865415215,0.05490135243983496,0.1921218141531298,41637250.5474143,0.0,0,234373.0,-0.13477824292496365,0.04668185066095032,258041.0,0.0,0,1544258174.202277,-0.6171524631303723,-0.1389597547521585,3563351005.2349343,0.0,0,21.0,-2.0,-2.0,21.714285714285715,0.0,0
2022-01-18,2022-01-18T00:00:00+00:00,42201.62,-0.020199825128634497,0.009065218259362462,-0.09891985562773409,-0.04474278949264143,-0.12336336104743895,28.882049383748026,0.019604391812537054,0.023913387506375235,27562.08613,0.33781255558360934,212018180.23026645,0.054216867469879526,0.24113475177305,193499041.22239825,0.0,0,47466219.95913501,0.053967361824255766,0.28051558982288993,43122702.94691462,0.0,0,216151.0,-0.07774786344843476,0.028590055343266307,258899.2857142857,0.0,0,1212228816.9349117,-0.2150089685870582,-0.29282253360142807,3491643825.1632934,0.0,0,22.0,1.0,-1.0,21.571428571428573,0.0,0
2022-01-19,2022-01-19T00:00:00+00:00,42352.12,0.003566213808853691,-0.008826966233232425,-0.09273770206997545,-0.03753881616858323,-0.11644323791075606,31.848856702625866,0.017887615364980777,0.023943976378556147,29324.08257,0.06392826840788923,195056725.81184512,-0.08000000000000007,0.13380281690140872,196787486.4667861,0.0,0,43763608.21850503,-0.07800519493268387,0.16286533933144032,43998320.22751085,0.0,0,258141.0,0.19426234437962342,-0.03224826893301791,257670.42857142858,0.0,0,3617010045.4515376,1.9837684065266252,-0.15580309036984663,3396279929.3450913,0.0,0,24.0,2.0,3.0,22.0,0.0,0
2022-01-20,2022-01-20T00:00:00+00:00,41660.01,-0.01634180296051302,-0.05108232621895803,-0.11199497124109226,-0.04843721448167404,-0.12702629776050312,38.65963454939159,0.014050024476439348,0.024014265845146463,31685.72159,0.08053581947065158,164768414.35037845,-0.15527950310559024,-0.139240506329114,192979813.02591595,0.0,0,36125898.01400663,-0.17452194906700746,-0.13607362123348854,43185456.35989152,0.0,0,265057.0,0.026791559651508257,-0.04552067353743994,255864.57142857142,0.0,0,3467788987.631183,-0.041255361733927964,-0.31295696804251927,3170619552.317425,0.0,0,24.0,0.0,2.0,22.285714285714285,0.0,0
2022-01-21,2022-01-21T00:00:00+00:00,40680.91,-0.023502154704235556,-0.04415402121846013,-0.1679073460601661,-0.06449212335929166,-0.14311074439891658,35.88637159736611,0.01251340901060065,0.022697564870049137,42330.33953,0.33594368080793324,209595115.3133491,0.2720588235294119,0.24460431654676262,198864399.2527152,0.0,0,46790137.070109926,0.29519651115575285,0.24395203421919054,44496318.69973967,0.0,0,270334.0,0.01990892525004062,-0.005880124883702931,255636.14285714287,0.0,0,6283645420.733321,0.8120033955773143,0.49951206129044334,3469646030.6685243,0.0,0,24.0,0.0,3.0,22.714285714285715,0.0,0
2022-01-22,2022-01-22T00:00:00+00:00,36445.31,-0.10411763158690412,-0.15361486633986654,-0.2499137649995391,-0.1487698566490364,-0.22563980406644113,27.1929207323319,0.0346597849350763,0.02874737953795058,88860.891999,1.0992246456238148,204748985.47951442,-0.023121387283237094,-0.05586592178770966,197133638.59777427,0.0,0,46535284.65994317,-0.005446712194599579,-0.0618017387185299,44058403.1115876,0.0,0,271265.0,0.003443887931225742,-0.01183906161776227,255171.85714285713,0.0,0,4889817377.076394,-0.22181837935315307,0.18426780395172448,3578337168.9870977,0.0,0,19.0,-5.0,-2.0,22.428571428571427,0.0,0
2022-01-23,2022-01-23T00:00:00+00:00,35071.42,-0.03769730590849685,-0.18598124745701983,-0.31014474965090644,-0.16650226249359779,-0.24788169493765533,23.5408535384192,0.033526234907495546,0.02726484877103764,90471.338961,0.018123236507890716,175442615.30802113,-0.14313316426383693,-0.08924216830558762,194677774.94250187,0.0,0,32978968.483064435,-0.291312630317867,-0.22751255155219163,42670839.32431134,0.0,0,272348.0,0.0039924059499014675,0.005411950591032166,255381.2857142857,0.0,0,9008771354.63786,0.8423533354990396,1.2334257191977755,4289074310.952498,0.0,0,13.0,-6.0,-10.0,21.0,0.0,0
2022-01-24,2022-01-24T00:00:00+00:00,36244.55,0.033449743409305954,-0.15850584816094848,-0.2868053915781188,-0.12709509955837062,-0.21617791661154673,29.147901867241345,0.03916764951911418,0.02839461523265013,44279.52354,-0.5105684955200251,177474949.66786668,0.011584040492541803,-0.11754225373488003,191300712.30874875,0.0,0,30110451.200228963,-0.0869802002542478,-0.3314101514263147,40538652.514999025,0.0,0,250294.0,-0.08097727906942587,0.06793017967086645,257655.7142857143,0.0,0,5255522709.505004,-0.41662158993530485,2.403266887170514,4819254958.852887,0.0,0,11.0,-2.0,-10.0,19.571428571428573,0.0,0
2022-01-25,2022-01-25T00:00:00+00:00,36660.35,0.011472069593911227,-0.13130467503380205,-0.2726071961596567,-0.1071268100764956,-0.20112038722954229,31.36371184935416,0.04107604151801966,0.028672721127133722,91904.753211,1.0755587653958751,186746029.1281284,0.052238805970149516,-0.11919803799226436,187690405.00844333,0.0,0,31485076.13631871,0.04565275116432965,-0.3366845692910645,38255631.968882404,0.0,0,203986.0,-0.18501442303850668,-0.05628010048530885,255917.85714285713,0.0,0,2570198094.106021,-0.5109529087453801,1.1202252068258023,5013250569.877332,0.0,0,13.0,2.0,-9.0,18.285714285714285,0.0,0
2022-01-26,2022-01-26T00:00:00+00:00,36958.32,0.008127854753159802,-0.12735608040400348,-0.27212282934147947,-0.0912333225125298,-0.18906193405390037,28.2077386153629,0.04146362407485053,0.028686685524524018,49232.40183,-0.46431060298949345,198665988.43417916,0.06382978723404253,0.018503656345670416,188206013.95449105,0.0,0,33828656.38463798,0.07443463811783202,-0.22701400177662112,36836353.13547283,0.0,0,270712.0,0.32711068406655364,0.048698192073324265,257713.7142857143,0.0,0,7041455187.922009,1.739654660887609,0.9467613026888826,5502457018.801684,0.0,0,12.0,-1.0,-12.0,16.571428571428573,0.0,0
2022-01-27,2022-01-27T00:00:00+00:00,36809.34,-0.004031027384361674,-0.11643468160473325,-0.2739981349642141,-0.08664700996312857,-0.18674489697813235,20.96823307532121,0.0417724008167858,0.028664543202529754,69830.16036,0.41837809581430263,201314868.2799682,0.013333333333333197,0.2218049744162378,193426935.94443244,0.0,0,35087221.533111915,0.037204112813817414,-0.028751575406983698,36687970.7810593,0.0,0,265128.0,-0.020627087088861962,0.0002678669116453758,257723.85714285713,0.0,0,4793129267.316919,-0.319298477459826,0.38218596472072686,5691791344.471076,0.0,0,23.0,11.0,-1.0,16.428571428571427,0.0,0
2022-01-28,2022-01-28T00:00:00+00:00,37160.1,0.009529103211304513,-0.08654698235609781,-0.21840183376402444,-0.07105455051523235,-0.1735394633880445,25.94583903876189,0.04258552309136902,0.02717443251632683,53020.87934,-0.24071663208765393,172177189.9762886,-0.14473684210526316,-0.17852479663526477,188081518.03913808,0.0,0,31353367.591352165,-0.10641634699504776,-0.32991503007626255,34482717.998379625,0.0,0,261070.0,-0.015305814549953278,-0.034268719435956996,256400.42857142858,0.0,0,4724487375.564173,-0.014320893079349584,-0.24812953958614514,5469054480.875483,0.0,0,20.0,-3.0,-4.0,15.857142857142858,0.0,0
2022-01-29,2022-01-29T00:00:00+00:00,37716.56,0.01497466368497391,0.034881031331603474,-0.18827427124184282,-0.051990230882840716,-0.156180708620427,26.317445684451286,0.020303370174826398,0.027326924986012014,42154.26956,-0.2049496333381633,173501629.89918315,0.007692307692307887,-0.15261299345220747,183617610.09909075,0.0,0,30227465.24249586,-0.03591009308891102,-0.3504398766788853,32153029.510172863,0.0,0,255925.0,-0.019707358179798518,-0.05654986821005292,254209.0,0.0,0,5371981515.875196,0.13705066578439173,0.09860575592438314,5537935072.132455,0.0,0,24.0,4.0,5.0,16.571428571428573,0.0,0
2022-01-30,2022-01-30T00:00:00+00:00,38166.84,0.011938522495158699,0.0882604696359599,-0.1900225950836647,-0.03694629864773569,-0.1415263133999618,28.99827030259027,0.010330332471892264,0.027274628498027535,26129.49682,-0.380145899982711,203963748.12575728,0.17557251908396942,0.1625667331033691,187692057.64448163,0.0,0,36132765.51223091,0.1953620729479153,0.09563055408437138,32603571.942910932,0.0,0,264609.0,0.03393181596170747,-0.02841585030916327,253103.42857142858,0.0,0,4157373396.2608657,-0.22610057685882567,-0.5385193793246197,4844878220.935741,0.0,0,24.0,0.0,11.0,18.142857142857142,0.0,0
